product_code,product_name,vendor,product_type,category,accessoryType,paymentType,description,standard_cost,standard_rep_price,new_cost,new_rep_price,upgrade_cost,upgrade_rep_price,is_active,available_for_all,sales_rep_credit,funding,lease
AC-PCMFE-Canon,"PaperCut MFD Emb, Canon, Comm, 1-9, per device",ACDI,Application,PaperCut,Software License,Monthly,,$591.60 ,,$394.40 ,$445.67 ,$394.40 ,$445.67 ,,,,,
AC-PCMFE-Canon,"PaperCut MFD Emb, Canon, Comm, 10-24, per device",ACDI,Application,PaperCut,Software License,Monthly,,$591.60 ,,$394.40 ,$445.67 ,$394.40 ,$445.67 ,,,,,
AC-PCMFE-Canon,"PaperCut MFD Emb, Canon, Comm, 25-49, per device",ACDI,Application,PaperCut,Software License,Monthly,,$591.60 ,,$394.40 ,$445.67 ,$394.40 ,$445.67 ,,,,,
AC-PCMFE-Canon,"PaperCut MFD Emb, Canon, Comm, 50-99, per device",ACDI,Application,PaperCut,Software License,Monthly,,$591.60 ,,$394.40 ,$445.67 ,$394.40 ,$445.67 ,,,,,
AC-PCMFE-Canon,"PaperCut MFD Emb, Canon, Comm, 100-199, per device",ACDI,Application,PaperCut,Software License,Monthly,,$591.60 ,,$394.40 ,$445.67 ,$394.40 ,$445.67 ,,,,,
AC-PCMFC-Lxmk,"PaperCut MFD Emb, Lexmark, Comm, 1-9, per device",ACDI,Application,PaperCut,Software License,Monthly,,$591.60 ,,$394.40 ,$445.67 ,$394.40 ,$445.67 ,,,,,
AC-PCMFC-Lxmk-10,"PaperCut MFD Emb, Lexmark, Comm, 10-24, per device",ACDI,Application,PaperCut,Software License,Monthly,,$591.60 ,,$394.40 ,$445.67 ,$394.40 ,$445.67 ,,,,,
LX-PCMFE-Lxmk-25,"PaperCut MFD Emb, Lexmark, Comm, 25-49, per device",ACDI,Application,PaperCut,Software License,Monthly,,$511.20 ,,$340.80 ,$385.10 ,$340.80 ,$385.10 ,,,,,
LX-PCMFE-Lxmk-50,"PaperCut MFD Emb, Lexmark, Comm, 50-99, per device",ACDI,Application,PaperCut,Software License,Monthly,,$435.60 ,,$290.40 ,$328.15 ,$290.40 ,$328.15 ,,,,,
LX-PCMFE-Lxmk-100,"PaperCut MFD Emb, Lexmark, Comm, 100-199, per device",ACDI,Application,PaperCut,Software License,Monthly,,$364.80 ,,$243.20 ,$274.82 ,$243.20 ,$274.82 ,,,,,
AC-PCMFE-KYOC,"PaperCut MFD Emb, Kyocera, Comm, 1-9, per device
Note: Device must have harddrive
 (card authentication kit required from Kyocera if using card readers)",ACDI,Application,PaperCut,Software License,Monthly,,$591.60 ,,$394.40 ,$445.67 ,$394.40 ,$445.67 ,,,,,
AC-PCMFE-KYOC-10,"PaperCut MFD Emb, Kyocera, Comm, 10-24, per device
Note: Device must have harddrive
 (card authentication kit required from Kyocera if using card readers)",ACDI,Application,PaperCut,Software License,Monthly,,$591.60 ,,$394.40 ,$445.67 ,$394.40 ,$445.67 ,,,,,
AC-PCMFE-KYOC-25,"PaperCut MFD Emb, Kyocera, Comm, 25-49, per device
Note: Device must have harddrive
 (card authentication kit required from Kyocera if using card readers)",ACDI,Application,PaperCut,Software License,Monthly,,$511.20 ,,$340.80 ,$385.10 ,$340.80 ,$385.10 ,,,,,
AC-PCMFE-KYOC-50,"PaperCut MFD Emb, Kyocera, Comm, 50-99, per device
Note: Device must have harddrive
 (card authentication kit required from Kyocera if using card readers)",ACDI,Application,PaperCut,Software License,Monthly,,$435.60 ,,$290.40 ,$328.15 ,$290.40 ,$328.15 ,,,,,
AC-PCMFE-KYOC-100,"PaperCut MFD Emb, Kyocera, Comm, 100-199, per device
Note: Device must have harddrive
 (card authentication kit required from Kyocera if using card readers)",ACDI,Application,PaperCut,Software License,Monthly,,$364.80 ,,$243.20 ,$274.82 ,$243.20 ,$274.82 ,,,,,
